"task","key","target","fn","expr_index","level","model"
1,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"nec3param"
2,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"nec4param"
3,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"nechorme"
4,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"nechorme4"
5,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxexp"
6,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecx4param"
7,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxwb1"
8,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxwb2"
9,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxwb1p3"
10,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxwb2p3"
11,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxll5"
12,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxll4"
13,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxll3"
14,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxhormebc4"
15,"b6cac8619e7f16b3","fit_plain","bnec",35,NA,"ecxhormebc5"
16,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"nec3param"
17,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"nec4param"
18,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"nechorme"
19,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"nechorme4"
20,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxexp"
21,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecx4param"
22,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxwb1"
23,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxwb2"
24,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxwb1p3"
25,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxwb2p3"
26,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxll5"
27,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxll4"
28,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxll3"
29,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxhormebc4"
30,"aae8afeb09c93c69","fit_ogl","bnec",36,NA,"ecxhormebc5"
31,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"nec3param"
32,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"nec4param"
33,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"nechorme"
34,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"nechorme4"
35,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxexp"
36,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecx4param"
37,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxwb1"
38,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxwb2"
39,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxwb1p3"
40,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxwb2p3"
41,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxll5"
42,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxll4"
43,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxll3"
44,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxhormebc4"
45,"b2a97918bc2608d7","fit_pooled","bnec",45,NA,"ecxhormebc5"
46,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"nec3param"
47,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"nec4param"
48,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"nechorme"
49,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"nechorme4"
50,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxexp"
51,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecx4param"
52,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxwb1"
53,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxwb2"
54,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxwb1p3"
55,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxwb2p3"
56,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxll5"
57,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxll4"
58,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxll3"
59,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxhormebc4"
60,"356caf3ec2c38b0c","fit_plate","bnec",46,NA,"ecxhormebc5"
61,"cdbabb140b464a71","fit_pam","bnec",55,NA,"nec3param"
62,"cdbabb140b464a71","fit_pam","bnec",55,NA,"nec4param"
63,"cdbabb140b464a71","fit_pam","bnec",55,NA,"nechorme"
64,"cdbabb140b464a71","fit_pam","bnec",55,NA,"nechorme4"
65,"cdbabb140b464a71","fit_pam","bnec",55,NA,"necsigm"
66,"cdbabb140b464a71","fit_pam","bnec",55,NA,"nechormepwr01"
67,"cdbabb140b464a71","fit_pam","bnec",55,NA,"ecxexp"
68,"cdbabb140b464a71","fit_pam","bnec",55,NA,"ecxsigm"
69,"cdbabb140b464a71","fit_pam","bnec",55,NA,"ecx4param"
70,"cdbabb140b464a71","fit_pam","bnec",55,NA,"ecxwb1"
71,"cdbabb140b464a71","fit_pam","bnec",55,NA,"ecxwb2"
